"Entity"	"Relation"	"Action"	"Value"	"Iteration of Promotion"	"Action Source"	"Action Date"
"jude_the_obscure"	"bookwriter"	"ybookwriter,book,writer"	"thomas_hardy"	"244"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:00:16-04:00"
"animal_farm"	"bookwriter"	"ybookwriter,book,writer"	"orwell"	"242"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:11:50-04:00"
"animal_farm"	"bookwriter"	"ywriterwrotebook,writer,writer"	"orwell"	"242"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:12:03-04:00"
"animal_farm"	"bookwriter"	"ybookwriter,book,writer"	"george_orwell"	"216"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:11:47-04:00"
"nineteen_eighty_four"	"bookwriter"	"ywriterwrotebook,writer,writer"	"orwell"	"218"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:12:04-04:00"
"nineteen_eighty_four"	"bookwriter"	"ybookwriter,book,writer"	"orwell"	"218"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:12:13-04:00"
"nineteen_eighty_four"	"bookwriter"	"ybookwriter,book,writer"	"george_orwell"	"229"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:12:11-04:00"
"tess_of_the_d_urbervilles"	"bookwriter"	"ybookwriter,book,writer"	"thomas_hardy"	"211"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T20:59:09-04:00"
"dune"	"bookwriter"	"ybookwriter,book,writer"	"frank_herbert"	"245"	"anonymous-033f236c-1b4a48a1-1b3480af"	"2011-06-05T01:15:39-04:00"
"a_farewell_to_arms"	"bookwriter"	"ybookwriter,book,writer"	"ernest_hemingway"	"219"	"anonymous-f06e3998-2d5b28eb-dd15decd"	"2011-05-30T13:02:11-04:00"
"alice_in_wonderland"	"bookwriter"	"ybookwriter,book,writer"	"lewis_carrol"	"199"	"anonymous-f06e3998-2d5b28eb-dd15decd"	"2011-05-30T12:58:20-04:00"
"alice_in_wonderland"	"bookwriter"	"ybookwriter,book,writer"	"lewis_carrol"	"199"	"anonymous-eaae971e-18471333-340587b8"	"2011-06-23T17:47:21-04:00"
"artemis_fowl"	"bookwriter"	"ybookwriter,book,personeurope"	"eoin_colfer"	"224"	"anonymous-8b500e5c-3d15714f-47ea0aff"	"2011-06-03T21:47:05-04:00"
"world_cup"	"sportsgameteam"	"ysportsgameteam,sportsgame,sportsteam"	"brazil"	"295"	"anonymous-0ec9359e-87005506-8d7649fe"	"2011-06-17T11:15:52-04:00"
"skiing"	"sportusesequipment"	"yequipmentusedbysport,sportsequipment,sportsequipment"	"skis"	"216"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:09:44-04:00"
"skiing"	"sportusesequipment"	"ysportusesequipment,hobby,sportsequipment"	"skis"	"216"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:10:04-04:00"
"skiing"	"sportusesequipment"	"ysportusesequipment,hobby,sportsequipment"	"equipment"	"233"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:10:06-04:00"
"sports"	"sportusesequipment"	"yequipmentusedbysport,sportsequipment,sportsequipment"	"skis"	"198"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:09:50-04:00"
"ski"	"sportusesequipment"	"yequipmentusedbysport,sportsequipment,sportsequipment"	"skis"	"216"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:09:48-04:00"
"argon"	"chemicalistypeofchemical"	"ychemicalistypeofchemical,chemical,chemical"	"gases"	"238"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:01:13-04:00"
"argon"	"chemicalistypeofchemical"	"ychemicalistypeofchemical,chemical,chemical"	"gas"	"238"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:01:12-04:00"
"chlorine"	"chemicalistypeofchemical"	"nchemicalistypeofchemical,chemical,chemical"	"chlorine"	"215"	"anonymous-1a0f3c1f-9f451fab-cc47d50c"	"2011-06-06T14:43:27-04:00"
"sulfur"	"chemicalistypeofchemical"	"nchemicalistypeofchemical,chemical,chemical"	"oxide"	"283"	"anonymous-1a0f3c1f-9f451fab-cc47d50c"	"2011-06-06T14:45:15-04:00"
"carbon_dioxide"	"chemicalistypeofchemical"	"ychemicalistypeofchemical,chemical,chemical"	"gases"	"216"	"anonymous-8bb7290e-09c196c4-384982fa"	"2011-06-06T21:02:02-04:00"
