Entity,Relation,Action,Value,Iteration of Promotion,Action Source,Action Date
insects,animalsuchasinvertebrate,"yanimalsuchasinvertebrate,animal,invertebrate",butterflies,536,anonymous-c67e2b31-45a9af7f-f5286141,2012-08-13T16:41:37-04:00
states,statelocatedingeopoliticallocation,"ystatelocatedingeopoliticallocation,stateorprovince,geopoliticallocation",home,614,anonymous-90709515-348688ba-0f5cd718,2012-08-19T16:07:02-04:00
the_philippines,countrylocatedingeopoliticallocation,"ncountrylocatedingeopoliticallocation,country,geopoliticallocation",states,622,anonymous-879b150b-72cc26fc-0f5cd718,2012-08-22T01:48:05-04:00
baby,animaleatfood,"nanimaleatfood,animal,food",chunkier_foods,551,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T01:47:20-04:00
baby,animaleatfood,"nanimaleatfood,animal,food",finger_foods,551,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T01:47:25-04:00
baby,animaleatfood,"yanimaleatfood,animal,beverage",breastmilk,647,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T01:47:28-04:00
nassau,citycapitalofcountry,"ycitycapitalofcountry,city,country",bahamas,665,anonymous-3e6cf86d-602e08a5-07cb23fd,2012-08-31T06:16:30-04:00
river_dart,haswikipediaurl,"nhaswikipediaurl,everypromotedthing,url",//en.wikipedia.org/wiki/River%20Dart,622,anonymous-bae35707-3b1d0746-f8088bdf,2012-08-17T15:12:38-04:00
ideas,agentparticipatedinevent,"yagentparticipatedinevent,agent,event",result,665,anonymous-90709515-348688ba-0f5cd718,2012-08-19T16:07:21-04:00
junk_food,foodcancausedisease,"yfoodcancausedisease,food,disease",heart_attacks,643,anonymous-277ed499-a18c1ee2-461748c8,2012-10-15T13:06:16-04:00
armistice_day,synonymfor,"nsynonymfor,everypromotedthing,everypromotedthing",remembrance_day,130,anonymous-c4b247e7-9bce9164-2843fab5,2012-10-23T17:13:47-04:00
hallenstadion,attractionofcity,"ycityattractions,city,city",zurich,665,anonymous-bb81c539-bb79454c-8196060c,2012-11-02T04:34:06-04:00
tennis,sportusesequipment,"nsportusesequipment,sport,sportsequipment",performance,665,anonymous-53aaa982-5888b700-76c9c7d4,2012-08-29T14:30:06-04:00
tennis,sportusesequipment,"nequipmentusedbysport,sportsequipment,sportsequipment",performance,665,anonymous-53aaa982-5888b700-76c9c7d4,2012-08-29T15:44:37-04:00
