Entity,Relation,Action,Value
insects,animalsuchasinvertebrate,"yanimalsuchasinvertebrate,animal,invertebrate",butterflies
states,statelocatedingeopoliticallocation,"ystatelocatedingeopoliticallocation,stateorprovince,geopoliticallocation",home
the_philippines,countrylocatedingeopoliticallocation,"ncountrylocatedingeopoliticallocation,country,geopoliticallocation",states
baby,animaleatfood,"nanimaleatfood,animal,food",chunkier_foods
baby,animaleatfood,"nanimaleatfood,animal,food",finger_foods
baby,animaleatfood,"yanimaleatfood,animal,beverage",breastmilk
nassau,citycapitalofcountry,"ycitycapitalofcountry,city,country",bahamas
river_dart,haswikipediaurl,"nhaswikipediaurl,everypromotedthing,url",//en.wikipedia.org/wiki/River%20Dart
ideas,agentparticipatedinevent,"yagentparticipatedinevent,agent,event",result
junk_food,foodcancausedisease,"yfoodcancausedisease,food,disease",heart_attacks
armistice_day,synonymfor,"nsynonymfor,everypromotedthing,everypromotedthing",remembrance_day
hallenstadion,attractionofcity,"ycityattractions,city,city",zurich
tennis,sportusesequipment,"nsportusesequipment,sport,sportsequipment",performance
tennis,sportusesequipment,"nequipmentusedbysport,sportsequipment,sportsequipment",performance
hunting,sportusesequipment,"ysportusesequipment,sport,sportsequipment",apparel
rugby,sportfansincountry,"ysportfansincountry,sport,country",argentina
office,synonymfor,"nsynonymfor,everypromotedthing,everypromotedthing",division
office,synonymfor,"ysynonymfor,governmentorganization,governmentorganization",division
ski,sportschoolincountry,"nsportschoolincountry,sport,country",turkey
ski,sportschoolincountry,"ysportschoolincountry,sport,country",the_united_states
ski,sportschoolincountry,"ysportschoolincountry,sport,country",holland
ski,sportusesequipment,"nsportusesequipment,sport,sportsequipment",packages
sports,sportusesequipment,"nsynonymfor,everypromotedthing,everypromotedthing",jewelry
badminton,sportusesequipment,"ysportusesequipment,sport,sportsequipment",racquet
aikido,sportschoolincountry,"ysportschoolincountry,sport,country",japan
football,sporthassportsteamposition,"ysporthassportsteamposition,sport,sportsteamposition",offensive_guard
golf,sportusesequipment,"ysportusesequipment,sport,sportsequipment",field
football,sportusesequipment,"nsportusesequipment,sport,sportsequipment",apparel
pool,sportusesequipment,"nsportusesequipment,sport,sportsequipment",field
golf,sportusesequipment,"ysportusesequipment,sport,sportsequipment",wood
sports,sportusesequipment,"nsportusesequipment,sport,sportsequipment",racquetball
sports,sportusesequipment,"ysportusesequipment,sport,sportsequipment",protective_gear
swimming,sportusesequipment,"nsportusesequipment,sport,sportsequipment",accessories
basketball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",clubs
